regiao;coduf;data;semana_epidemiologica;populacaotcu2019;casos_acumulado;casos_novos;obitos_acumulado;obitos_novos;recuperados_novos;em_acompanhamento_novos
Brasil;76;2020-05-10;20;210147125;162699;6760;11123;496;64957;86619
Brasil;76;2020-05-11;20;210147125;168331;5632;11519;396;67384;89429
Brasil;76;2020-05-12;20;210147125;177589;9258;12400;881;72597;92593
Brasil;76;2020-05-13;20;210147125;188974;11385;13149;749;78424;97402
Brasil;76;2020-05-14;20;210147125;202918;13944;13993;844;79479;109446
Brasil;76;2020-05-15;20;210147125;218223;15305;14817;824;84970;118436
Brasil;76;2020-05-16;20;210147125;233142;14919;15633;816;89672;127837
Brasil;76;2020-05-17;21;210147125;241080;7938;16118;485;94122;130840
Brasil;76;2020-05-18;21;210147125;254220;13140;16792;674;100459;136969
Brasil;76;2020-05-19;21;210147125;271628;17408;17971;1179;106794;146863
Brasil;76;2020-05-20;21;210147125;291579;19951;18859;888;116683;156037
Brasil;76;2020-05-21;21;210147125;310087;18508;20047;1188;125960;164080
Brasil;76;2020-05-22;21;210147125;330890;20803;21046;999;135430;174412
Brasil;76;2020-05-23;21;210147125;347398;16508;22013;967;142587;182798
Brasil;76;2020-05-24;22;210147125;363211;15813;22666;653;149911;190634
Brasil;76;2020-05-25;22;210147125;374898;11687;23473;807;153833;197592
Brasil;76;2020-05-26;22;210147125;391222;16324;24512;1039;158593;208117
Brasil;76;2020-05-27;22;210147125;411821;20599;25598;1086;166647;219576
Brasil;76;2020-05-28;22;210147125;438238;26417;26754;1156;177604;233880
Brasil;76;2020-05-29;22;210147125;465166;26928;27878;1124;189476;247812
Brasil;76;2020-05-30;22;210147125;498440;33274;28834;956;200892;268714
Brasil;76;2020-05-31;23;210147125;514200;15760;29314;480;206555;278331
Brasil;76;2020-06-01;23;210147125;526447;12247;29937;623;211080;285430
Brasil;76;2020-06-02;23;210147125;555383;28936;31199;1262;223638;300546
Brasil;76;2020-06-03;23;210147125;584016;28633;32548;1349;238617;312851
Brasil;76;2020-06-04;23;210147125;614941;30925;34021;1473;254963;325957
Brasil;76;2020-06-05;23;210147125;645771;30830;35026;1005;266940;343805
Brasil;76;2020-06-06;23;210147125;672846;27075;35930;904;277149;359767
Brasil;76;2020-06-07;24;210147125;691758;18912;36455;525;283952;371351
Brasil;76;2020-06-08;24;210147125;707412;15654;37134;679;290040;380238
Brasil;76;2020-06-09;24;210147125;739503;32091;38406;1272;311064;390033
Brasil;76;2020-06-10;24;210147125;772416;32913;39680;1274;325395;407341
Brasil;76;2020-06-11;24;210147125;802828;30412;40919;1239;345595;416314
Brasil;76;2020-06-12;24;210147125;828810;25982;41828;909;365063;421919
Brasil;76;2020-06-13;24;210147125;850514;21704;42720;892;379245;428549
Brasil;76;2020-06-14;25;210147125;867624;17110;43332;612;388492;435800
Brasil;76;2020-06-15;25;210147125;888271;20647;43959;627;412252;432060
Brasil;76;2020-06-16;25;210147125;923189;34918;45241;1282;441729;436219
Brasil;76;2020-06-17;25;210147125;955377;32188;46510;1269;463474;445393
Brasil;76;2020-06-18;25;210147125;978142;22765;47748;1238;482102;448292
Brasil;76;2020-06-19;25;210147125;1032913;54771;48954;1206;507200;476759
Brasil;76;2020-06-20;25;210147125;1067579;34666;49976;1022;520734;496869
Brasil;76;2020-06-21;26;210147125;1085038;17459;50617;641;549386;485035
Brasil;76;2020-06-22;26;210147125;1106470;21432;51271;654;571649;483550
Brasil;76;2020-06-23;26;210147125;1145906;39436;52645;1374;613345;479916
Brasil;76;2020-06-24;26;210147125;1188631;42725;53830;1185;649908;484893
Brasil;76;2020-06-25;26;210147125;1228114;39483;54971;1141;673729;499414
Brasil;76;2020-06-26;26;210147125;1274974;46860;55961;990;697526;521487
Brasil;76;2020-06-27;26;210147125;1313667;38693;57070;1109;715905;540692
Brasil;76;2020-06-28;27;210147125;1344143;30476;57622;552;733848;552673
Brasil;76;2020-06-29;27;210147125;1368195;24052;58314;692;757462;552419
Brasil;76;2020-06-30;27;210147125;1402041;33846;59594;1280;790040;552407
Brasil;76;2020-07-01;27;210147125;1448753;46712;60632;1038;826866;561255
Brasil;76;2020-07-02;27;210147125;1496858;48105;61884;1252;852816;582158
Brasil;76;2020-07-03;27;210147125;1539081;42223;63174;1290;868372;607535
Brasil;76;2020-07-04;27;210147125;1577004;37923;64265;1091;876359;636380
Brasil;76;2020-07-05;28;210147125;1603055;26051;64867;602;906286;631902
Brasil;76;2020-07-06;28;210147125;1623284;20229;65487;620;927292;630505
Brasil;76;2020-07-07;28;210147125;1668589;45305;66741;1254;976977;624871
Brasil;76;2020-07-08;28;210147125;1713160;44571;67964;1223;1020901;624295
Brasil;76;2020-07-09;28;210147125;1755779;42619;69184;1220;1054043;632552
Brasil;76;2020-07-10;28;210147125;1800827;45048;70398;1214;1078763;651666
Brasil;76;2020-07-11;28;210147125;1839850;39023;71469;1071;1100873;667508
Brasil;76;2020-07-12;29;210147125;1864681;24831;72100;631;1123204;669377
Brasil;76;2020-07-13;29;210147125;1884967;20286;72833;733;1154837;657297
Brasil;76;2020-07-14;29;210147125;1926824;41857;74133;1300;1209208;643483
Brasil;76;2020-07-15;29;210147125;1966748;39924;75366;1233;1255564;635818
Brasil;76;2020-07-16;29;210147125;2012151;45403;76688;1322;1296328;639135
Brasil;76;2020-07-17;29;210147125;2046328;34177;77851;1163;1321036;647441
Brasil;76;2020-07-18;29;210147125;2074860;28532;78772;921;1342362;653726
Brasil;76;2020-07-19;30;210147125;2098389;23529;79488;716;1371229;647672
Brasil;76;2020-07-20;30;210147125;2118646;20257;80120;632;1409202;629324
Brasil;76;2020-07-21;30;210147125;2159654;41008;81487;1367;1465970;612197
Brasil;76;2020-07-22;30;210147125;2227514;67860;82771;1284;1532138;612605
Brasil;76;2020-07-23;30;210147125;2287475;59961;84082;1311;1570237;633156
Brasil;76;2020-07-24;30;210147125;2343366;55891;85238;1156;1592281;665847
Brasil;76;2020-07-25;30;210147125;2394513;51147;86449;1211;1617480;690584
Brasil;76;2020-07-26;31;210147125;2419091;24578;87004;555;1634274;697813
Brasil;76;2020-07-27;31;210147125;2442375;23284;87618;614;1667667;687090
Brasil;76;2020-07-28;31;210147125;2483191;40816;88539;921;1721560;673092
Brasil;76;2020-07-29;31;210147125;2552265;69074;90134;1595;1786753;675378
Brasil;76;2020-07-30;31;210147125;2610102;57837;91263;1129;1824095;694744
Brasil;76;2020-07-31;31;210147125;2662485;52383;92475;1212;1844051;725959
Brasil;76;2020-08-01;31;210147125;2707877;45392;93563;1088;1865729;748585
Brasil;76;2020-08-02;32;210147125;2733677;25800;94104;541;1883677;755896
Brasil;76;2020-08-03;32;210147125;2750318;16641;94665;561;1912319;743334
Brasil;76;2020-08-04;32;210147125;2801921;51603;95819;1154;1970767;735335
Brasil;76;2020-08-05;32;210147125;2857597;55676;97240;1421;2020637;741180
Brasil;76;2020-08-06;32;210147125;2912212;54615;98493;1253;2080916;781954
Brasil;76;2020-08-07;32;210147125;2962442;50230;99572;1079;2068394;794476
Brasil;76;2020-08-08;32;210147125;3012412;49970;100477;905;2094293;817642
Brasil;76;2020-08-09;33;210147125;3035422;23010;101049;572;2118460;815913
Brasil;76;2020-08-10;33;210147125;3057470;22048;101752;703;2163812;791906
Brasil;76;2020-08-11;33;210147125;3109630;52160;103026;1274;2243124;763480
Brasil;76;2020-08-12;33;210147125;3164785;55155;104201;1175;2309477;751107
Brasil;76;2020-08-13;33;210147125;3224876;60091;105463;1262;2356640;762773
Brasil;76;2020-08-14;33;210147125;3275520;50644;106523;1060;2384302;784695
Brasil;76;2020-08-15;33;210147125;3317096;41576;107232;709;2404272;805592
Brasil;76;2020-08-16;34;210147125;3340197;23101;107852;620;2432456;799889
Brasil;76;2020-08-17;34;210147125;3359570;19373;108536;684;2478494;772540
Brasil;76;2020-08-18;34;210147125;3407354;47784;109888;1352;2554179;743287
Brasil;76;2020-08-19;34;210147125;3456652;49298;111100;1212;2615254;730298
Brasil;76;2020-08-20;34;210147125;3501975;45323;112304;1204;2653407;736264
Brasil;76;2020-08-21;34;210147125;3532330;30355;113358;1054;2670755;748217
Brasil;76;2020-08-22;34;210147125;3582362;50032;114250;892;2709638;758474
Brasil;76;2020-08-23;35;210147125;3605783;23421;114744;494;2739035;752004
Brasil;76;2020-08-24;35;210147125;3622861;17078;115309;565;2778709;728843
Brasil;76;2020-08-25;35;210147125;3669995;47134;116580;1271;2848395;705020
Brasil;76;2020-08-26;35;210147125;3717156;47161;117665;1085;2908848;690642
Brasil;76;2020-08-27;35;210147125;3761391;44235;118649;984;2947250;695492
Brasil;76;2020-08-28;35;210147125;3804803;43412;119504;855;2976796;708503
Brasil;76;2020-08-29;35;210147125;3846153;41350;120462;958;3006679;719012
Brasil;76;2020-08-30;36;210147125;3862311;16158;120828;366;3031626;709857
Brasil;76;2020-08-31;36;210147125;3908272;45961;121381;553;3097734;689157
Brasil;76;2020-09-01;36;210147125;3950931;42659;122596;1215;3159096;669239
Brasil;76;2020-09-02;36;210147125;3997865;46934;123780;1184;3210405;663680
Brasil;76;2020-09-03;36;210147125;4041638;43773;124614;834;3247610;669414
Brasil;76;2020-09-04;36;210147125;4092832;51194;125521;907;3278918;688393
Brasil;76;2020-09-05;36;210147125;4123000;30168;126203;682;3296702;700095
Brasil;76;2020-09-06;37;210147125;4137521;14521;126650;447;3317227;693644
Brasil;76;2020-09-07;37;210147125;4147794;10273;126960;310;3355564;665270
Brasil;76;2020-09-08;37;210147125;4162073;14279;127464;504;3397234;637375
Brasil;76;2020-09-09;37;210147125;4197889;35816;128539;1075;3453336;616014
Brasil;76;2020-09-10;37;210147125;4238446;40557;129522;983;3497337;611587
Brasil;76;2020-09-11;37;210147125;4282164;43718;130396;874;3530655;621113
Brasil;76;2020-09-12;37;210147125;4315687;33523;131210;814;3553421;631056
Brasil;76;2020-09-13;38;210147125;4330455;14768;131625;415;3573958;624872
Brasil;76;2020-09-14;38;210147125;4345610;15155;132006;381;3613184;600420
Brasil;76;2020-09-15;38;210147125;4382263;36653;133119;1113;3671128;578016
Brasil;76;2020-09-16;38;210147125;4419083;36820;134106;987;3720312;564665
Brasil;76;2020-09-17;38;210147125;4455386;36303;134935;829;3753082;567369
Brasil;76;2020-09-18;38;210147125;4495183;39797;135793;858;3789139;570251
Brasil;76;2020-09-19;38;210147125;4528240;33057;136532;739;3820095;571613
Brasil;76;2020-09-20;39;210147125;4544629;16389;136895;363;3851227;556507
Brasil;76;2020-09-21;39;210147125;4558068;13439;137272;377;3887199;533597
Brasil;76;2020-09-22;39;210147125;4591604;33536;138108;836;3945627;507869
Brasil;76;2020-09-23;39;210147125;4624885;33281;138977;869;3992886;493022
Brasil;76;2020-09-24;39;210147125;4657702;32817;139808;831;4023789;494105
Brasil;76;2020-09-25;39;210147125;4689613;31911;140537;729;4040949;508127
Brasil;76;2020-09-26;39;210147125;4717991;28378;141406;869;4050837;525748
Brasil;76;2020-09-27;40;210147125;4732309;14318;141741;335;4060088;530480
Brasil;76;2020-09-28;40;210147125;4745464;13155;142058;317;4084182;519224
Brasil;76;2020-09-29;40;210147125;4777522;32058;142921;863;4135088;499513
Brasil;76;2020-09-30;40;210147125;4810935;33413;143952;1031;4180376;486607
Brasil;76;2020-10-01;40;210147125;4847092;36157;144680;728;4212772;489640
Brasil;76;2020-10-02;40;210147125;4880523;33431;145388;708;4232593;502542
Brasil;76;2020-10-03;40;210147125;4906833;26310;145987;599;4248574;512272
Brasil;76;2020-10-04;41;210147125;4915289;8456;146352;365;4263208;505729
Brasil;76;2020-10-05;41;210147125;4927235;11946;146675;323;4295302;485258
Brasil;76;2020-10-06;41;210147125;4969141;41906;147494;819;4352871;468776
Brasil;76;2020-10-07;41;210147125;5000694;31553;148228;734;4391424;461042
Brasil;76;2020-10-08;41;210147125;5028444;27750;148957;729;4414564;464923
Brasil;76;2020-10-09;41;210147125;5055888;27444;149639;682;4433595;472654
Brasil;76;2020-10-10;41;210147125;5082637;26749;150198;559;4453722;478717
Brasil;76;2020-10-11;42;210147125;5094979;12342;150488;290;4470163;474328
Brasil;76;2020-10-12;42;210147125;5103408;8429;150689;201;4495269;457450
Brasil;76;2020-10-13;42;210147125;5113628;10220;150998;309;4526975;435655
Brasil;76;2020-10-14;42;210147125;5140863;27235;151747;749;4568813;420303
Brasil;76;2020-10-15;42;210147125;5169386;28523;152460;713;4599446;417480
Brasil;76;2020-10-16;42;210147125;5200300;30914;153214;754;4619560;427526
Brasil;76;2020-10-17;42;210147125;5224362;24062;153675;461;4635315;435372
Brasil;76;2020-10-18;43;210147125;5235344;10982;153905;230;4650030;431409
Brasil;76;2020-10-19;43;210147125;5250727;15383;154176;271;4681659;414892
Brasil;76;2020-10-20;43;210147125;5273954;23227;154837;661;4721593;397524
Brasil;76;2020-10-21;43;210147125;5298772;24818;155403;566;4756489;386880
Brasil;76;2020-10-22;43;210147125;5323630;24858;155900;497;4779295;388435
Brasil;76;2020-10-23;43;210147125;5353656;30026;156471;571;4797872;399313
Brasil;76;2020-10-24;43;210147125;5380635;26979;156903;432;4817898;405834
Brasil;76;2020-10-25;44;210147125;5394128;13493;157134;231;4835915;401079
Brasil;76;2020-10-26;44;210147125;5409854;15726;157397;263;4865930;386527
Brasil;76;2020-10-27;44;210147125;5439641;29787;157946;549;4904046;377649
Brasil;76;2020-10-28;44;210147125;5468270;28629;158456;510;4934548;375266
Brasil;76;2020-10-29;44;210147125;5494376;26106;158969;513;4954159;381248
Brasil;76;2020-10-30;44;210147125;5516658;22282;159477;508;4966264;390917
Brasil;76;2020-10-31;44;210147125;5535605;18947;159884;407;4972898;402823
Brasil;76;2020-11-01;45;210147125;5545705;10100;160074;190;4980942;404689
Brasil;76;2020-11-02;45;210147125;5554206;8501;160253;179;4998408;395545
Brasil;76;2020-11-03;45;210147125;5566049;11843;160496;243;5028216;377337
Brasil;76;2020-11-04;45;210147125;5590025;23976;161106;610;5064344;364575
Brasil;76;2020-11-05;45;210147125;5612319;22294;161736;630;5088635;361948
Brasil;76;2020-11-06;45;210147125;5633747;21428;162038;302;5104195;367514
Brasil;76;2020-11-07;45;210147125;5653561;19814;162269;231;5119132;372160
Brasil;76;2020-11-08;46;210147125;5664115;10554;162397;128;5133155;368563
Brasil;76;2020-11-09;46;210147125;5675032;10917;162628;231;5154005;358399
Brasil;76;2020-11-10;46;210147125;5700044;25012;162829;201;5189529;347686
Brasil;76;2020-11-11;46;210147125;5748375;48331;163373;544;5236345;348657
Brasil;76;2020-11-12;46;210147125;5781582;33207;164281;908;5256767;360534
Brasil;76;2020-11-13;46;210147125;5810652;29070;164737;456;5267567;378348
Brasil;76;2020-11-14;46;210147125;5848959;38307;165658;921;5291511;391790
Brasil;76;2020-11-15;47;210147125;5863093;14134;165798;140;5303114;394181
Brasil;76;2020-11-16;47;210147125;5876464;13371;166014;216;5322406;388044
Brasil;76;2020-11-17;47;210147125;5911758;35294;166699;685;5361592;383467
Brasil;76;2020-11-18;47;210147125;5945849;34091;167455;756;5389863;388531
Brasil;76;2020-11-19;47;210147125;5981767;35918;168061;606;5407498;406208
Brasil;76;2020-11-20;47;210147125;6020164;38397;168613;552;5422102;429449
Brasil;76;2020-11-21;47;210147125;6052786;32622;168989;376;5429158;454639
Brasil;76;2020-11-22;48;210147125;6071401;18615;169183;194;5432505;469713
Brasil;76;2020-11-23;48;210147125;6087608;16207;169485;302;5445095;473028
Brasil;76;2020-11-24;48;210147125;6118708;31100;170115;630;5476018;472575
Brasil;76;2020-11-25;48;210147125;6166606;47898;170769;654;5512847;482990
Brasil;76;2020-11-26;48;210147125;6204220;37614;171460;691;5528599;504161
Brasil;76;2020-11-27;48;210147125;6238350;34130;171974;514;5536524;529852
Brasil;76;2020-11-28;48;210147125;6290272;51922;172561;587;5562539;555172
Brasil;76;2020-11-29;49;210147125;6314740;24468;172833;272;5578118;563789
Brasil;76;2020-11-30;49;210147125;6335878;21138;173120;287;5601804;560954
Brasil;76;2020-12-01;49;210147125;6386787;50909;173817;697;5656498;556472
Brasil;76;2020-12-02;49;210147125;6436650;49863;174515;698;5698353;563782
Brasil;76;2020-12-03;49;210147125;6487084;50434;175270;755;5725010;586804
Brasil;76;2020-12-04;49;210147125;6533968;46884;175964;694;5744369;613635
Brasil;76;2020-12-05;49;210147125;6577177;43209;176628;664;5761363;639186
Brasil;76;2020-12-06;50;210147125;6603540;26363;176941;313;5776182;650417
Brasil;76;2020-12-07;50;210147125;6623911;20371;177317;376;5801067;645527
Brasil;76;2020-12-08;50;210147125;6674999;51088;178159;842;5854709;642131
Brasil;76;2020-12-09;50;210147125;6728452;53453;178995;836;5901511;647946
Brasil;76;2020-12-10;50;210147125;6781799;53347;179765;770;5931777;670257
Brasil;76;2020-12-11;50;210147125;6836227;54428;180437;672;5954745;701045
Brasil;76;2020-12-12;50;210147125;6880127;43900;181123;686;5969706;729298
Brasil;76;2020-12-13;51;210147125;6901952;21825;181402;279;5982953;737597
Brasil;76;2020-12-14;51;210147125;6927145;25193;181835;433;6016085;729225
Brasil;76;2020-12-15;51;210147125;6970034;42889;182799;964;6067862;719373
Brasil;76;2020-12-16;51;210147125;7040608;70574;183735;936;6132683;724190
Brasil;76;2020-12-17;51;210147125;7110434;69826;184827;1092;6177702;747905
Brasil;76;2020-12-18;51;210147125;7162978;52544;185650;823;6198185;779143
Brasil;76;2020-12-19;51;210147125;7213155;50177;186356;706;6222764;804035
Brasil;76;2020-12-20;52;210147125;7238600;25445;186764;408;6245801;806035
Brasil;76;2020-12-21;52;210147125;7263619;25019;187291;527;6286980;789348
Brasil;76;2020-12-22;52;210147125;7318821;55202;188259;968;6354972;775590
Brasil;76;2020-12-23;52;210147125;7365517;46696;189220;961;6405356;770941
Brasil;76;2020-12-24;52;210147125;7425593;60076;190006;786;6448740;785223
Brasil;76;2020-12-25;52;210147125;7448560;22967;190488;482;6449822;785765
Brasil;76;2020-12-26;52;210147125;7465806;17246;190795;307;6459335;798737
Brasil;76;2020-12-27;53;210147125;7484285;18479;191139;344;6475466;799545
Brasil;76;2020-12-28;53;210147125;7504833;20548;191570;431;6515370;777776
Brasil;76;2020-12-29;53;210147125;7563551;58718;192681;1111;6568898;744365
Brasil;76;2020-12-30;53;210147125;7619200;55649;193875;1194;6647538;723332
Brasil;76;2020-12-31;53;210147125;7675973;56773;194949;1074;6707781;717544
Brasil;76;2021-01-01;53;210147125;7700578;24605;195411;462;6747065;733959
Brasil;76;2021-01-02;53;210147125;7716405;15827;195725;314;6756284;748883
Brasil;76;2021-01-03;1;210147125;7733746;17341;196018;293;6769420;751260
Brasil;76;2021-01-04;1;210147125;7753752;20006;196561;543;6813008;724720
Brasil;76;2021-01-05;1;210147125;7810400;56648;197732;1171;6875230;681961
Brasil;76;2021-01-06;1;210147125;7873830;63430;198974;1242;6963407;649261
Brasil;76;2021-01-07;1;210147125;7961673;87843;200498;1524;7036530;638326
Brasil;76;2021-01-08;1;210147125;8013708;52035;201460;962;7096931;664244
Brasil;76;2021-01-09;1;210147125;8075998;62290;202631;1171;7114474;697774
Brasil;76;2021-01-10;2;210147125;8105790;29792;203100;469;7144011;729356
Brasil;76;2021-01-11;2;210147125;8131612;25822;203580;480;7167651;735039
Brasil;76;2021-01-12;2;210147125;8195637;64025;204690;1110;7207483;720549
Brasil;76;2021-01-13;2;210147125;8256536;60899;205964;1274;7273707;717240
Brasil;76;2021-01-14;2;210147125;8324294;67758;207095;1131;7277195;713752
Brasil;76;2021-01-15;2;210147125;8393492;69198;208246;1151;7316944;733628
Brasil;76;2021-01-16;2;210147125;8455059;61567;209296;1050;7339703;777496
Brasil;76;2021-01-17;3;210147125;8488099;33040;209847;551;7361379;823867
Brasil;76;2021-01-18;3;210147125;8511770;23671;210299;452;7388784;856979
Brasil;76;2021-01-19;3;210147125;8573864;62094;211491;1192;7411654;866598
Brasil;76;2021-01-20;3;210147125;8638249;64385;212831;1340;7452047;849424
Brasil;76;2021-01-21;3;210147125;8697368;59119;214147;1316;7518846;843527
Brasil;76;2021-01-22;3;210147125;8753920;56552;215243;1096;7564622;860796
Brasil;76;2021-01-23;3;210147125;8816254;62334;216445;1202;7580741;902480
Brasil;76;2021-01-24;4;210147125;8844577;28323;217037;592;7594771;943906
Brasil;76;2021-01-25;4;210147125;8871393;26816;217664;627;7628438;971371
Brasil;76;2021-01-26;4;210147125;8933356;61963;218878;1214;7653770;973770
Brasil;76;2021-01-27;4;210147125;8996876;63520;220161;1283;7709602;944127
Brasil;76;2021-01-28;4;210147125;9058687;61811;221547;1386;7798655;915823
Brasil;76;2021-01-29;4;210147125;9118513;59826;222666;1119;7877337;899378
Brasil;76;2021-01-30;4;210147125;9176975;58462;223945;1279;7923794;913346
Brasil;76;2021-01-31;5;210147125;9204731;27756;224504;559;7960643;935204
Brasil;76;2021-02-01;5;210147125;9229322;24591;225099;595;7998246;954784
Brasil;76;2021-02-02;5;210147125;9283418;54096;226309;1210;8027042;953185
Brasil;76;2021-02-03;5;210147125;9339420;56002;227563;1254;8077967;926256
Brasil;76;2021-02-04;5;210147125;9396293;56873;228795;1232;8160929;896180
Brasil;76;2021-02-05;5;210147125;9447165;50872;230034;1239;8236864;874993
Brasil;76;2021-02-06;5;210147125;9497795;50630;231012;978;8291763;875735
Brasil;76;2021-02-07;6;210147125;9524640;26845;231534;522;8326798;890333
Brasil;76;2021-02-08;6;210147125;9548079;23439;232170;636;8363677;903106
Brasil;76;2021-02-09;6;210147125;9599565;51486;233520;1350;8397187;895919
Brasil;76;2021-02-10;6;210147125;9659167;59602;234850;1330;8447645;868264
Brasil;76;2021-02-11;6;210147125;9713909;54742;236201;1351;8523462;842583
Brasil;76;2021-02-12;6;210147125;9765455;51546;237489;1288;8596130;828187
Brasil;76;2021-02-13;6;210147125;9809754;44299;238532;1043;8643693;834015
Brasil;76;2021-02-14;7;210147125;9834513;24759;239245;713;8678327;849639
Brasil;76;2021-02-15;7;210147125;9866710;32197;239773;528;8710840;860382
Brasil;76;2021-02-16;7;210147125;9921981;55271;240940;1167;8745424;849844
Brasil;76;2021-02-17;7;210147125;9978747;56766;242090;1150;8805239;821698
Brasil;76;2021-02-18;7;210147125;10030626;51879;243457;1367;8883191;797850
Brasil;76;2021-02-19;7;210147125;10081676;51050;244765;1308;8950450;786207
Brasil;76;2021-02-20;7;210147125;10139148;57472;245977;1212;8995246;791923
Brasil;76;2021-02-21;8;210147125;10168174;29026;246504;527;9029159;807752
