data,regiao,estado,obitos_novos,obitos_acumulado,casos_novos,casos_acumulado
2020-05-14,Norte,AC,3,55,46,1740
2020-05-15,Norte,AC,2,57,45,1785
2020-05-16,Norte,AC,2,59,82,1867
2020-05-17,Norte,AC,1,60,130,1997
2020-05-18,Norte,AC,7,67,237,2234
2020-05-19,Norte,AC,5,72,248,2482
2020-05-20,Norte,AC,4,76,335,2817
2020-05-21,Norte,AC,2,78,286,3103
2020-05-22,Norte,AC,2,80,240,3343
2020-05-23,Norte,AC,7,87,524,3867
2020-05-24,Norte,AC,5,92,293,4160
2020-05-25,Norte,AC,5,97,341,4501
2020-05-26,Norte,AC,8,105,280,4781
2020-05-27,Norte,AC,8,113,470,5251
2020-05-28,Norte,AC,9,122,349,5600
2020-05-29,Norte,AC,13,135,241,5841
2020-05-30,Norte,AC,7,142,231,6072
2020-05-31,Norte,AC,6,148,147,6219
2020-06-01,Norte,AC,13,161,107,6326
2020-06-02,Norte,AC,4,165,139,6465
2020-06-03,Norte,AC,6,171,214,6679
2020-06-04,Norte,AC,10,181,342,7021
2020-06-05,Norte,AC,9,190,263,7284
2020-06-06,Norte,AC,11,201,241,7525
2020-06-07,Norte,AC,6,207,458,7983
2020-06-08,Norte,AC,4,211,145,8128
2020-06-09,Norte,AC,12,223,329,8457
2020-06-10,Norte,AC,14,237,289,8746
2020-06-11,Norte,AC,8,245,345,9091
2020-06-12,Norte,AC,9,254,204,9295
2020-06-13,Norte,AC,2,256,239,9534
2020-06-14,Norte,AC,3,259,108,9642
2020-06-15,Norte,AC,6,265,129,9771
2020-06-16,Norte,AC,6,271,232,10003
2020-06-17,Norte,AC,10,281,336,10339
2020-06-18,Norte,AC,6,287,325,10664
2020-06-19,Norte,AC,5,292,323,10987
2020-06-20,Norte,AC,5,297,276,11263
2020-06-21,Norte,AC,3,300,118,11381
2020-06-22,Norte,AC,5,305,158,11539
2020-06-23,Norte,AC,16,321,271,11810
2020-06-24,Norte,AC,5,326,212,12022
2020-06-25,Norte,AC,9,335,282,12304
2020-06-26,Norte,AC,8,343,340,12644
2020-06-27,Norte,AC,8,351,269,12913
2020-06-28,Norte,AC,2,353,145,13058
2020-06-29,Norte,AC,8,361,88,13146
2020-06-30,Norte,AC,4,365,107,13253
2020-07-01,Norte,AC,5,370,462,13715
2020-07-02,Norte,AC,8,378,333,14048
2020-07-03,Norte,AC,9,387,64,14112
2020-07-04,Norte,AC,4,391,375,14487
2020-07-05,Norte,AC,0,391,135,14622
2020-07-06,Norte,AC,3,394,66,14688
2020-07-07,Norte,AC,5,399,253,14941
2020-07-08,Norte,AC,5,404,226,15167
2020-07-09,Norte,AC,7,411,298,15465
2020-07-10,Norte,AC,6,417,303,15768
2020-07-11,Norte,AC,2,419,312,16080
2020-07-12,Norte,AC,7,426,110,16190
2020-07-13,Norte,AC,4,430,70,16260
2020-07-14,Norte,AC,6,436,219,16479
2020-07-15,Norte,AC,10,446,193,16672
2020-07-16,Norte,AC,1,447,193,16865
2020-07-17,Norte,AC,5,452,100,16965
2020-07-18,Norte,AC,5,457,237,17202
2020-07-19,Norte,AC,3,460,93,17295
2020-07-20,Norte,AC,5,465,167,17462
2020-07-21,Norte,AC,4,469,238,17700
2020-07-22,Norte,AC,1,470,279,17979
2020-07-23,Norte,AC,4,474,178,18157
2020-07-24,Norte,AC,6,480,236,18393
2020-07-25,Norte,AC,3,483,264,18657
2020-07-26,Norte,AC,3,486,88,18745
2020-07-27,Norte,AC,7,493,38,18783
2020-07-28,Norte,AC,7,500,349,19132
2020-07-29,Norte,AC,10,510,234,19366
2020-07-30,Norte,AC,11,521,207,19573
2020-07-31,Norte,AC,10,531,52,19625
2020-08-01,Norte,AC,4,535,305,19930
2020-08-02,Norte,AC,2,537,36,19966
2020-08-03,Norte,AC,2,539,373,20339
2020-08-04,Norte,AC,6,545,369,20708
2020-08-05,Norte,AC,2,547,325,21033
2020-08-06,Norte,AC,5,552,230,21263
2020-08-07,Norte,AC,4,556,113,21376
2020-08-08,Norte,AC,3,559,122,21498
2020-08-09,Norte,AC,2,561,89,21587
2020-08-10,Norte,AC,1,562,32,21619
2020-08-11,Norte,AC,3,565,138,21757
2020-08-12,Norte,AC,4,569,236,21993
2020-08-13,Norte,AC,5,574,249,22242
2020-08-14,Norte,AC,2,576,193,22435
2020-08-15,Norte,AC,0,576,81,22516
2020-08-16,Norte,AC,0,576,32,22548
2020-08-17,Norte,AC,6,582,57,22605
2020-08-18,Norte,AC,8,590,328,22933
2020-08-19,Norte,AC,1,591,213,23146
2020-08-20,Norte,AC,4,595,176,23322
2020-08-21,Norte,AC,3,598,15,23337
2020-08-22,Norte,AC,0,598,328,23665
2020-08-23,Norte,AC,2,600,54,23719
2020-08-24,Norte,AC,4,604,10,23729
2020-08-25,Norte,AC,3,607,207,23936
2020-08-26,Norte,AC,0,607,183,24119
2020-08-27,Norte,AC,0,607,150,24269
2020-08-28,Norte,AC,1,608,193,24462
2020-08-29,Norte,AC,0,608,139,24601
2020-08-30,Norte,AC,1,609,37,24638
2020-08-31,Norte,AC,3,612,9,24647
2020-09-01,Norte,AC,4,616,193,24840
2020-09-02,Norte,AC,2,618,187,25027
2020-09-03,Norte,AC,4,622,108,25135
2020-09-04,Norte,AC,1,623,114,25249
2020-09-05,Norte,AC,1,624,159,25408
2020-09-06,Norte,AC,0,624,35,25443
2020-09-07,Norte,AC,0,624,26,25469
2020-09-08,Norte,AC,6,630,25,25494
2020-09-09,Norte,AC,1,631,174,25668
2020-09-10,Norte,AC,4,635,209,25877
2020-09-11,Norte,AC,1,636,127,26004
2020-09-12,Norte,AC,1,637,144,26148
2020-09-13,Norte,AC,3,640,18,26166
2020-09-14,Norte,AC,0,640,10,26176
2020-09-15,Norte,AC,2,642,111,26287
2020-09-16,Norte,AC,1,643,176,26463
2020-09-17,Norte,AC,3,646,253,26716
2020-09-18,Norte,AC,1,647,226,26942
2020-09-19,Norte,AC,1,648,119,27061
2020-09-20,Norte,AC,1,649,18,27079
2020-09-21,Norte,AC,0,649,27,27106
2020-09-22,Norte,AC,2,651,140,27246
2020-09-23,Norte,AC,1,652,151,27397
2020-09-24,Norte,AC,1,653,159,27556
2020-09-25,Norte,AC,1,654,154,27710
2020-09-26,Norte,AC,2,656,149,27859
2020-09-27,Norte,AC,1,657,15,27874
2020-09-28,Norte,AC,0,657,11,27885
2020-09-29,Norte,AC,0,657,145,28030
2020-09-30,Norte,AC,2,659,192,28222
2020-10-01,Norte,AC,2,661,187,28409
2020-10-02,Norte,AC,3,664,146,28555
2020-10-03,Norte,AC,3,667,107,28662
2020-10-04,Norte,AC,0,667,10,28672
2020-10-05,Norte,AC,0,667,15,28687
2020-10-06,Norte,AC,1,668,118,28805
2020-10-07,Norte,AC,0,668,13,28818
2020-10-08,Norte,AC,1,669,16,28834
2020-10-09,Norte,AC,5,674,183,29017
2020-10-10,Norte,AC,0,674,14,29031
2020-10-11,Norte,AC,0,674,19,29050
2020-10-12,Norte,AC,1,675,13,29063
2020-10-13,Norte,AC,0,675,209,29272
2020-10-14,Norte,AC,1,676,29,29301
2020-10-15,Norte,AC,1,677,105,29406
2020-10-16,Norte,AC,2,679,192,29598
2020-10-17,Norte,AC,0,679,95,29693
2020-10-18,Norte,AC,0,679,25,29718
2020-10-19,Norte,AC,0,679,47,29765
2020-10-20,Norte,AC,3,682,100,29865
2020-10-21,Norte,AC,0,682,60,29925
2020-10-22,Norte,AC,3,685,103,30028
2020-10-23,Norte,AC,1,686,93,30121
2020-10-24,Norte,AC,0,686,96,30217
2020-10-25,Norte,AC,1,687,87,30304
2020-10-26,Norte,AC,2,689,13,30317
2020-10-27,Norte,AC,1,690,63,30380
2020-10-28,Norte,AC,1,691,165,30545
2020-10-29,Norte,AC,1,692,93,30638
2020-10-30,Norte,AC,1,693,120,30758
2020-10-31,Norte,AC,0,693,38,30796
2020-11-01,Norte,AC,0,693,155,30951
2020-11-02,Norte,AC,0,693,3,30954
2020-11-03,Norte,AC,2,695,8,30962
2020-11-04,Norte,AC,1,696,256,31218
2020-11-05,Norte,AC,1,697,30,31248
2020-11-06,Norte,AC,0,697,78,31326
2020-11-07,Norte,AC,2,699,249,31575
2020-11-08,Norte,AC,0,699,132,31707
2020-11-09,Norte,AC,2,701,81,31788
2020-11-10,Norte,AC,3,704,138,31926
2020-11-11,Norte,AC,1,705,187,32113
2020-11-12,Norte,AC,2,707,402,32515
2020-11-13,Norte,AC,0,707,146,32661
2020-11-14,Norte,AC,1,708,330,32991
2020-11-15,Norte,AC,0,708,165,33156
2020-11-16,Norte,AC,0,708,139,33295
2020-11-17,Norte,AC,1,709,180,33475
2020-11-18,Norte,AC,0,709,250,33725
2020-11-19,Norte,AC,1,710,251,33976
2020-11-20,Norte,AC,1,711,270,34246
2020-11-21,Norte,AC,2,713,189,34435
2020-11-22,Norte,AC,0,713,191,34626
2020-11-23,Norte,AC,1,714,223,34849
2020-11-24,Norte,AC,1,715,204,35053
2020-11-25,Norte,AC,6,721,135,35188
2020-11-26,Norte,AC,1,722,116,35304
2020-11-27,Norte,AC,0,722,452,35756
2020-11-28,Norte,AC,1,723,164,35920
2020-11-29,Norte,AC,0,723,160,36080
2020-11-30,Norte,AC,0,723,179,36259
2020-12-01,Norte,AC,3,726,304,36563
2020-12-02,Norte,AC,1,727,183,36746
2020-12-03,Norte,AC,3,730,153,36899
2020-12-04,Norte,AC,1,731,253,37152
2020-12-05,Norte,AC,1,732,125,37277
2020-12-06,Norte,AC,0,732,44,37321
2020-12-07,Norte,AC,4,736,107,37428
2020-12-08,Norte,AC,1,737,128,37556
2020-12-09,Norte,AC,5,742,116,37672
2020-12-10,Norte,AC,2,744,230,37902
2020-12-11,Norte,AC,3,747,248,38150
2020-12-12,Norte,AC,2,749,213,38363
2020-12-13,Norte,AC,1,750,49,38412
2020-12-14,Norte,AC,3,753,216,38628
2020-12-15,Norte,AC,2,755,84,38712
2020-12-16,Norte,AC,1,756,226,38938
2020-12-17,Norte,AC,0,756,228,39166
2020-12-18,Norte,AC,1,757,175,39341
2020-12-19,Norte,AC,1,758,528,39869
2020-12-20,Norte,AC,7,765,127,39996
2020-12-21,Norte,AC,2,767,253,40249
2020-12-22,Norte,AC,2,769,65,40314
2020-12-23,Norte,AC,7,776,85,40399
2020-12-24,Norte,AC,3,779,239,40638
2020-12-25,Norte,AC,1,780,85,40723
2020-12-26,Norte,AC,0,780,13,40736
2020-12-27,Norte,AC,5,785,164,40900
2020-12-28,Norte,AC,4,789,110,41010
2020-12-29,Norte,AC,2,791,222,41232
2020-12-30,Norte,AC,2,793,123,41355
2020-12-31,Norte,AC,2,795,265,41620
2021-01-01,Norte,AC,1,796,69,41689
2021-01-02,Norte,AC,2,798,252,41941
2021-01-03,Norte,AC,4,802,105,42046
2021-01-04,Norte,AC,4,806,71,42117
2021-01-05,Norte,AC,2,808,53,42170
2021-01-06,Norte,AC,6,814,208,42378
2021-01-07,Norte,AC,7,821,100,42478
2021-01-08,Norte,AC,2,823,336,42814
2021-01-09,Norte,AC,0,823,94,42908
2021-01-10,Norte,AC,2,825,219,43127
2021-01-11,Norte,AC,1,826,219,43346
2021-01-12,Norte,AC,1,827,86,43432
2021-01-13,Norte,AC,2,829,353,43785
2021-01-14,Norte,AC,3,832,283,44068
2021-01-15,Norte,AC,3,835,88,44156
2021-01-16,Norte,AC,0,835,465,44621
2021-01-17,Norte,AC,1,836,146,44767
2021-01-18,Norte,AC,1,837,8,44775
2021-01-19,Norte,AC,2,839,433,45208
2021-01-20,Norte,AC,1,840,221,45429
2021-01-21,Norte,AC,4,844,300,45729
2021-01-22,Norte,AC,2,846,258,45987
2021-01-23,Norte,AC,2,848,252,46239
2021-01-24,Norte,AC,2,850,190,46429
2021-01-25,Norte,AC,4,854,110,46539
2021-01-26,Norte,AC,2,856,235,46774
2021-01-27,Norte,AC,2,858,345,47119
2021-01-28,Norte,AC,2,860,342,47461
2021-01-29,Norte,AC,1,861,475,47936
2021-01-30,Norte,AC,3,864,411,48347
2021-01-31,Norte,AC,3,867,120,48467
2021-02-01,Norte,AC,6,873,353,48820
2021-02-02,Norte,AC,3,876,229,49049
2021-02-03,Norte,AC,3,879,498,49547
2021-02-04,Norte,AC,3,882,397,49944
2021-02-05,Norte,AC,2,884,178,50122
2021-02-06,Norte,AC,2,886,332,50454
2021-02-07,Norte,AC,2,888,92,50546
2021-02-08,Norte,AC,5,893,148,50694
2021-02-09,Norte,AC,7,900,575,51269
2021-02-10,Norte,AC,2,902,410,51679
2021-02-11,Norte,AC,5,907,493,52172
2021-02-12,Norte,AC,3,910,376,52548
2021-02-13,Norte,AC,7,917,372,52920
2021-02-14,Norte,AC,4,921,107,53027
2021-02-15,Norte,AC,10,931,428,53455
2021-02-16,Norte,AC,1,932,135,53590
2021-02-17,Norte,AC,8,940,302,53892
2021-02-18,Norte,AC,8,948,238,54130
2021-02-19,Norte,AC,3,951,432,54562
2021-02-20,Norte,AC,6,957,181,54743
2021-02-21,Norte,AC,6,963,43,54786
2021-02-22,Norte,AC,5,968,183,54969
2021-02-23,Norte,AC,6,974,622,55591
2021-02-24,Norte,AC,1,975,290,55881
2021-02-25,Norte,AC,7,982,376,56257
2021-02-26,Norte,AC,4,986,474,56731
2021-02-27,Norte,AC,10,996,606,57337
2021-02-28,Norte,AC,2,998,197,57534
2021-03-01,Norte,AC,14,1012,360,57894
2021-03-02,Norte,AC,8,1020,187,58081
2021-03-03,Norte,AC,10,1030,425,58506
2021-03-04,Norte,AC,7,1037,378,58884
2021-03-05,Norte,AC,10,1047,616,59500
2021-03-06,Norte,AC,7,1054,569,60069
2021-03-07,Norte,AC,9,1063,219,60288
2021-03-08,Norte,AC,3,1066,368,60656
2021-03-09,Norte,AC,5,1071,65,60721
2021-03-10,Norte,AC,12,1083,400,61121
2021-03-11,Norte,AC,11,1094,273,61394
2021-03-12,Norte,AC,12,1106,315,61709
2021-03-13,Norte,AC,11,1117,623,62332
2021-03-14,Norte,AC,5,1122,288,62620
2021-03-15,Norte,AC,7,1129,320,62940
2021-03-16,Norte,AC,11,1140,438,63378
2021-03-17,Norte,AC,4,1144,343,63721
2021-03-18,Norte,AC,12,1156,513,64234
2021-03-19,Norte,AC,12,1168,644,64878
2021-03-20,Norte,AC,8,1176,397,65275
2021-03-21,Norte,AC,5,1181,171,65446
2021-03-22,Norte,AC,9,1190,513,65959
2021-03-23,Norte,AC,11,1201,331,66290
2021-03-24,Norte,AC,9,1210,454,66744
2021-03-25,Norte,AC,7,1217,548,67292
2021-03-26,Norte,AC,7,1224,485,67777
2021-03-27,Norte,AC,5,1229,798,68575
2021-03-28,Norte,AC,5,1234,167,68742
2021-03-29,Norte,AC,6,1240,163,68905
2021-03-30,Norte,AC,13,1253,198,69103
2021-03-31,Norte,AC,9,1262,554,69657
2021-04-01,Norte,AC,7,1269,331,69988
2021-04-02,Norte,AC,11,1280,863,70851
2021-04-03,Norte,AC,4,1284,211,71062
2021-04-04,Norte,AC,7,1291,95,71157
2021-04-05,Norte,AC,7,1298,173,71330
2021-04-06,Norte,AC,8,1306,90,71420
2021-04-07,Norte,AC,12,1318,460,71880
2021-04-08,Norte,AC,7,1325,523,72403
2021-04-09,Norte,AC,9,1334,494,72897
2021-04-10,Norte,AC,5,1339,378,73275
2021-04-11,Norte,AC,4,1343,150,73425
2021-04-12,Norte,AC,10,1353,188,73613
2021-04-13,Norte,AC,14,1367,394,74007
2021-04-14,Norte,AC,7,1374,526,74533
2021-04-15,Norte,AC,9,1383,131,74664
2021-04-16,Norte,AC,12,1395,383,75047
2021-04-17,Norte,AC,10,1405,287,75334
2021-04-18,Norte,AC,13,1418,71,75405
2021-04-19,Norte,AC,15,1433,194,75599
2021-04-20,Norte,AC,12,1445,41,75640
2021-04-21,Norte,AC,4,1449,239,75879
2021-04-22,Norte,AC,9,1458,333,76212
2021-04-23,Norte,AC,7,1465,164,76376
2021-04-24,Norte,AC,11,1476,227,76603
2021-04-25,Norte,AC,4,1480,144,76747
2021-04-26,Norte,AC,8,1488,224,76971
2021-04-27,Norte,AC,12,1500,175,77146
2021-04-28,Norte,AC,17,1517,152,77298
2021-04-29,Norte,AC,8,1525,237,77535
2021-04-30,Norte,AC,4,1529,268,77803
2021-05-01,Norte,AC,5,1534,213,78016
2021-05-02,Norte,AC,12,1546,136,78152
2021-05-03,Norte,AC,6,1552,173,78325
2021-05-04,Norte,AC,3,1555,115,78440
2021-05-05,Norte,AC,8,1563,170,78610
2021-05-06,Norte,AC,5,1568,279,78889
2021-05-07,Norte,AC,7,1575,211,79100
2021-05-08,Norte,AC,10,1585,176,79276
2021-05-09,Norte,AC,4,1589,75,79351
2021-05-10,Norte,AC,7,1596,125,79476
2021-05-11,Norte,AC,3,1599,34,79510
2021-05-12,Norte,AC,2,1601,208,79718
2021-05-13,Norte,AC,6,1607,237,79955
2021-05-14,Norte,AC,1,1608,222,80177
2021-05-15,Norte,AC,4,1612,161,80338
2021-05-16,Norte,AC,2,1614,61,80399
2021-05-17,Norte,AC,6,1620,162,80561
2021-05-18,Norte,AC,5,1625,29,80590
2021-05-19,Norte,AC,6,1631,98,80688
2021-05-20,Norte,AC,1,1632,109,80797
2021-05-21,Norte,AC,0,1632,438,81235
2021-05-22,Norte,AC,1,1633,113,81348
2021-05-23,Norte,AC,2,1635,65,81413
2021-05-24,Norte,AC,7,1642,92,81505
2021-05-25,Norte,AC,7,1649,146,81651
2021-05-26,Norte,AC,3,1652,199,81850
2021-05-27,Norte,AC,0,1652,130,81980
2021-05-28,Norte,AC,3,1655,169,82149
2021-05-29,Norte,AC,2,1657,58,82207
2021-05-30,Norte,AC,2,1659,271,82478
2021-05-31,Norte,AC,3,1662,46,82524
2021-06-01,Norte,AC,7,1669,57,82581
2021-06-02,Norte,AC,7,1676,172,82753
2021-06-03,Norte,AC,4,1680,184,82937
2021-06-04,Norte,AC,2,1682,186,83123
2021-06-05,Norte,AC,4,1686,117,83240
2021-06-06,Norte,AC,4,1690,66,83306
2021-06-07,Norte,AC,2,1692,44,83350
2021-06-08,Norte,AC,5,1697,59,83409
2021-06-09,Norte,AC,0,1697,64,83473
2021-06-10,Norte,AC,2,1699,192,83665
2021-06-11,Norte,AC,2,1701,374,84039
2021-06-12,Norte,AC,6,1707,65,84104
2021-06-13,Norte,AC,5,1712,70,84174
2021-06-14,Norte,AC,7,1719,163,84337
2021-06-15,Norte,AC,2,1721,67,84404
2021-06-16,Norte,AC,2,1723,46,84450
2021-06-17,Norte,AC,2,1725,37,84487
2021-06-18,Norte,AC,3,1728,200,84687
2021-06-19,Norte,AC,1,1729,125,84812
2021-06-20,Norte,AC,1,1730,37,84849
2021-06-21,Norte,AC,2,1732,69,84918
2021-06-22,Norte,AC,2,1734,19,84937
2021-06-23,Norte,AC,0,1734,106,85043
2021-06-24,Norte,AC,1,1735,85,85128
2021-06-25,Norte,AC,1,1736,145,85273
2021-06-26,Norte,AC,0,1736,110,85383
2021-06-27,Norte,AC,0,1736,80,85463
2021-06-28,Norte,AC,0,1736,33,85496
2021-06-29,Norte,AC,2,1738,30,85526
2021-06-30,Norte,AC,0,1738,30,85556
2021-07-01,Norte,AC,3,1741,180,85736
2021-07-02,Norte,AC,1,1742,61,85797
2021-07-03,Norte,AC,4,1746,74,85871
2021-07-04,Norte,AC,6,1752,26,85897
2021-07-05,Norte,AC,5,1757,86,85983
2021-07-06,Norte,AC,3,1760,14,85997
2021-07-07,Norte,AC,1,1761,123,86120
2021-07-08,Norte,AC,0,1761,176,86296
2021-07-09,Norte,AC,3,1764,104,86400
2021-07-10,Norte,AC,2,1766,54,86454
2021-07-11,Norte,AC,0,1766,13,86467
2021-07-12,Norte,AC,1,1767,14,86481
2021-07-13,Norte,AC,3,1770,11,86492
2021-07-14,Norte,AC,1,1771,52,86544
2021-07-15,Norte,AC,3,1774,51,86595
2021-07-16,Norte,AC,2,1776,49,86644
2021-07-17,Norte,AC,0,1776,20,86664
2021-07-18,Norte,AC,1,1777,16,86680
2021-07-19,Norte,AC,2,1779,49,86729
2021-07-20,Norte,AC,1,1780,14,86743
2021-07-21,Norte,AC,11,1791,14,86757
2021-07-22,Norte,AC,2,1793,87,86844
2021-07-23,Norte,AC,3,1796,11,86855
2021-07-24,Norte,AC,0,1796,81,86936
2021-07-25,Norte,AC,0,1796,16,86952
2021-07-26,Norte,AC,1,1797,35,86987
2021-07-27,Norte,AC,0,1797,12,86999
2021-07-28,Norte,AC,1,1798,54,87053
2021-07-29,Norte,AC,0,1798,20,87073
2021-07-30,Norte,AC,0,1798,55,87128
2021-07-31,Norte,AC,1,1799,13,87141
2021-08-01,Norte,AC,1,1800,6,87147
2021-08-02,Norte,AC,2,1802,39,87186
2021-08-03,Norte,AC,0,1802,2,87188
2021-08-04,Norte,AC,0,1802,44,87232
2021-08-05,Norte,AC,0,1802,59,87291
2021-08-06,Norte,AC,2,1804,88,87379
2021-08-07,Norte,AC,0,1804,10,87389
2021-08-08,Norte,AC,0,1804,0,87389
2021-08-09,Norte,AC,0,1804,33,87422
2021-08-10,Norte,AC,0,1804,1,87423
2021-08-11,Norte,AC,1,1805,45,87468
2021-08-12,Norte,AC,2,1807,8,87476
2021-08-13,Norte,AC,0,1807,9,87485
2021-08-14,Norte,AC,0,1807,2,87487
2021-08-15,Norte,AC,0,1807,2,87489
2021-08-16,Norte,AC,1,1808,3,87492
2021-08-17,Norte,AC,0,1808,110,87602
2021-08-18,Norte,AC,0,1808,5,87607
2021-08-19,Norte,AC,0,1808,31,87638
2021-08-20,Norte,AC,1,1809,33,87671
2021-08-21,Norte,AC,0,1809,7,87678
2021-08-22,Norte,AC,0,1809,2,87680
2021-08-23,Norte,AC,2,1811,2,87682
2021-08-24,Norte,AC,0,1811,42,87724
2021-08-25,Norte,AC,2,1813,5,87729
2021-08-26,Norte,AC,0,1813,32,87761
2021-08-27,Norte,AC,0,1813,37,87798
2021-08-28,Norte,AC,0,1813,4,87802
2021-08-29,Norte,AC,1,1814,1,87803
2021-08-30,Norte,AC,0,1814,1,87804
2021-08-31,Norte,AC,0,1814,19,87823
2021-09-01,Norte,AC,0,1814,8,87831
2021-09-02,Norte,AC,0,1814,4,87835
2021-09-03,Norte,AC,0,1814,20,87855
2021-09-04,Norte,AC,0,1814,20,87875
2021-09-05,Norte,AC,0,1814,0,87875
2021-09-06,Norte,AC,0,1814,2,87877
2021-09-07,Norte,AC,1,1815,22,87899
2021-09-08,Norte,AC,0,1815,1,87900
2021-09-09,Norte,AC,0,1815,3,87903
2021-09-10,Norte,AC,1,1816,4,87907
2021-09-11,Norte,AC,0,1816,0,87907
2021-09-12,Norte,AC,0,1816,4,87911
2021-09-13,Norte,AC,0,1816,3,87914
2021-09-14,Norte,AC,0,1816,0,87914
2021-09-15,Norte,AC,0,1816,2,87916
2021-09-16,Norte,AC,0,1816,8,87924
2021-09-17,Norte,AC,1,1817,1,87925
2021-09-18,Norte,AC,0,1817,5,87930
2021-09-19,Norte,AC,0,1817,2,87932
2021-09-20,Norte,AC,0,1817,0,87932
2021-09-21,Norte,AC,18,1835,0,87932
2021-09-22,Norte,AC,0,1835,0,87932
2021-09-23,Norte,AC,1,1836,2,87934
2021-09-24,Norte,AC,0,1836,3,87937
2021-09-25,Norte,AC,0,1836,1,87938
2021-09-26,Norte,AC,0,1836,0,87938
2021-09-27,Norte,AC,0,1836,1,87939
2021-09-28,Norte,AC,1,1837,1,87940
2021-09-29,Norte,AC,0,1837,-17,87923
2021-09-30,Norte,AC,1,1838,1,87924
2021-10-01,Norte,AC,0,1838,1,87925
2021-10-02,Norte,AC,0,1838,1,87926
2021-10-03,Norte,AC,0,1838,0,87926
2021-10-04,Norte,AC,0,1838,4,87930
2021-10-05,Norte,AC,1,1839,1,87931
2021-10-06,Norte,AC,0,1839,0,87931
2021-10-07,Norte,AC,0,1839,7,87938
2021-10-08,Norte,AC,0,1839,2,87940
2021-10-09,Norte,AC,1,1840,4,87944
2021-10-10,Norte,AC,0,1840,0,87944
2021-10-11,Norte,AC,0,1840,0,87944
2021-10-12,Norte,AC,1,1841,0,87944
2021-10-13,Norte,AC,0,1841,24,87968
2021-10-14,Norte,AC,0,1841,26,87994
